,t1_L,t1_th2,t1_chi2,t4_L,t4_th2,t4_chi2
1,0,0,0.001,0,0,0.001
2,0.1,9.99983E-06,0.00099995,0.1,9.99983E-06,0.00099995
3,0.2,1.99987E-05,0.0009998,0.2,1.99987E-05,0.0009998
4,0.3,2.99955E-05,0.00099955,0.3,2.99955E-05,0.00099955
5,0.4,3.99893E-05,0.0009992,0.4,3.99893E-05,0.0009992
6,0.5,4.99792E-05,0.00099875,0.5,4.99792E-05,0.00099875
7,0.6,5.9964E-05,0.000998201,0.6,5.9964E-05,0.000998201
8,0.7,6.99428E-05,0.000997551,0.7,6.99428E-05,0.000997551
9,0.8,7.99147E-05,0.000996802,0.8,7.99147E-05,0.000996802
10,0.9,8.98785E-05,0.000995953,0.9,8.98785E-05,0.000995953
11,1,9.98334E-05,0.000995004,1,9.98334E-05,0.000995004
12,1.1,0.000109778,0.000993956,1.1,0.000109778,0.000993956
13,1.2,0.000119712,0.000992809,1.2,0.000119712,0.000992809
14,1.3,0.000129634,0.000991562,1.3,0.000129634,0.000991562
15,1.4,0.000139543,0.000990216,1.4,0.000139543,0.000990216
16,1.5,0.000149438,0.000988771,1.5,0.000149438,0.000988771
17,1.6,0.000159318,0.000987227,1.6,0.000159318,0.000987227
18,1.7,0.000169182,0.000985585,1.7,0.000169182,0.000985585
19,1.8,0.00017903,0.000983844,1.8,0.00017903,0.000983844
20,1.9,0.000188859,0.000982004,1.9,0.000188859,0.000982004
21,2,0.000198669,0.000980067,2,0.000198669,0.000980067
22,2.1,0.00020846,0.000978031,2.1,0.00020846,0.000978031
23,2.2,0.00021823,0.000975897,2.2,0.00021823,0.000975897
24,2.3,0.000227978,0.000973666,2.3,0.000227978,0.000973666
25,2.4,0.000237703,0.000971338,2.4,0.000237703,0.000971338
26,2.5,0.000247404,0.000968912,2.5,0.000247404,0.000968912
27,2.6,0.000257081,0.00096639,2.6,0.000257081,0.00096639
28,2.7,0.000266731,0.000963771,2.7,0.000266731,0.000963771
29,2.8,0.000276356,0.000961055,2.8,0.000276356,0.000961055
30,2.9,0.000285952,0.000958244,2.9,0.000285952,0.000958244
31,3,0.00029552,0.000955336,3,0.00029552,0.000955336
32,3.1,0.000305059,0.000952334,3.1,0.000305059,0.000952334
33,3.2,0.000314567,0.000949235,3.2,0.000314567,0.000949235
